Time,Event,EventTime,H1,H2,U,Beta,G1_1,G1_2,G1_3,X1_1,X1_2,X1_3,XX1,SS,gg1
2.31,NaN,NaN,1,0,2.69685615202136e-05,1,1,1,1,-0.000230180640549029,-0.0207219357311332,-0.0535748353330533,718851.694270787,1597448.20949064,166415.541482121
2.32,NaN,NaN,1,0,2.69685615202136e-05,1,1,1,1,-0.000230202000416586,-0.0202222032997391,-0.0524472581129162,688271.89505799,1529493.10012887,189347.083528825
2.33,NaN,NaN,1,0,2.69685615202136e-05,1,1,1,1,-0.000230219261496437,-0.0197346583640525,-0.0513412297816183,658951.553799754,1464336.78622167,213251.765343905
2.34,NaN,NaN,1,0,2.69685615202136e-05,1,1,1,1,-0.000230233210313154,-0.0192590036076585,-0.0502564290374246,630841.397601007,1401869.77244668,238051.178809645
2.35,NaN,NaN,1,0,2.69685615202136e-05,0,1,1,1,-0.000180878247912505,-0.0187949489839784,-0.0491925354018242,603893.921838546,1341986.49297455,263670.552541098
2.36,NaN,NaN,1,0,2.69685615202136e-05,0,1,1,1,-0.000140994107956842,-0.018341007640938,-0.0481492294407909,577535.181972437,1283411.51549431,290583.705736401
2.37,NaN,NaN,1,0,2.69685615202136e-05,1,1,1,1,-0.000158129649936578,-0.0178971639109092,-0.0471261516521763,552359.850127866,1227466.33361748,318136.04188841
2.38,NaN,NaN,1,0,2.69685615202136e-05,1,1,1,1,-0.000171977018494739,-0.0174645620823868,-0.0461229543349206,528805.273184303,1175122.82929845,345667.305207264
2.39,NaN,NaN,1,0,2.69685615202136e-05,1,1,1,1,-0.000183167187805538,-0.0170428478104337,-0.0451393409960291,506203.663443582,1124897.02987463,373775.069587106
2.4,NaN,NaN,1,0,2.69685615202136e-05,1,1,1,1,-0.000192210053146948,-0.0166316907790897,-0.0441750131569131,484523.203226865,1076718.22939303,402397.913404956
2.41,NaN,NaN,1,0,2.69685615202136e-05,1,1,1,1,-0.000199517664972265,-0.0162307811626261,-0.0432296712462614,463731.95426255,1030515.45391678,431477.644133301
2.42,1,0.24,1,0,1.13059581016956e-05,1,1,1,1,-0.000205423004549198,-0.0158398267397088,-0.0423030153408109,443798.135217809,986218.078261798,0
2.43,NaN,NaN,1,0,1.13059581016956e-05,1,1,1,1,-0.000210195156704034,-0.0154585505358195,-0.0413947457816439,424690.334547284,943756.298993964,467.881034470811
2.44,NaN,NaN,1,0,1.13059581016956e-05,1,1,1,1,-0.000214051571037574,-0.015086688893189,-0.0405045636884167,406377.671685953,903061.492635451,1833.68959347057
2.45,NaN,NaN,1,0,1.13059581016956e-05,1,1,1,1,-0.000217167970311823,-0.0147239898868137,-0.0396321713896949,388829.917135633,864066.482523629,4042.34849392322
2.46,NaN,NaN,1,0,1.13059581016956e-05,1,1,1,1,-0.000219686357496537,-0.014370212020736,-0.038777272784153,372017.579950302,826705.733222893,7041.01234398948
2.47,NaN,NaN,1,0,1.13059581016956e-05,1,1,1,1,-0.000221721486327603,-0.0140251231513865,-0.037939573644631,355911.969452788,790915.487672862,10779.0498400057
2.48,NaN,NaN,1,0,1.13059581016956e-05,1,1,1,1,-0.000223366090217017,-0.0136884995949807,-0.0371187818748018,340485.236655548,756633.859234551,15208.0106764307
2.49,NaN,NaN,1,0,1.13059581016956e-05,1,1,1,1,-0.000224695107776884,-0.0133601253842001,-0.0363146077263938,325710.399758368,723800.888351928,20281.5811188819
2.5,NaN,NaN,1,0,1.13059581016956e-05,1,1,1,1,-0.000225769097499153,-0.0130397916460489,-0.0355267639834451,311561.357209737,692358.571577193,25955.5314067224
